mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,mzo,mzoscan,sn
352.4795778,352.4781413,352.4824893,53.507,50.177,57.357,4230.508858,4224.126636,1629.097656,352.4795316,99,1628
344.0926368,344.0911105,344.0966232,225.254,221.114,228.584,1325.809725,1274.733802,429.8679199,344.0926319,316,16
782.6258841,782.6212247,782.6297418,31.559,27.4,33.169,3731.169764,3726.362264,1291.100464,782.626302,72,1290
729.4789624,729.475674,729.4859507,32.389,26.529,35.579,21501.022,21461.35564,10180.43164,729.4788306,73,551
377.4958769,377.4937863,377.5007744,30.419,28.289,33.169,2590.226767,2586.322767,1272.075562,377.494867,72,1271
288.2151707,288.2130895,288.2164273,36.339,33.169,46.988,15416.7836,15259.02379,5265.790527,288.2153815,78,102
234.094751,234.0930438,234.0957335,118.772,106.073,124.732,17245.21736,16607.35933,1900.14856,234.0943132,186,14
668.9784016,668.9751563,668.9819027,76.965,65.747,82.685,18208.77708,17937.87542,1895.802368,668.9785353,131,29
384.3805229,384.3770271,384.3814942,54.317,50.177,59.597,3587.501728,3486.556618,1182.072754,384.3803994,100,41
687.3411275,687.3366374,687.3450078,241.613,235.123,249.052,1116.959555,1054.664007,250.9700623,687.3442902,334,25
188.5602755,188.5595048,188.5620315,373.533,370.303,377.673,3590.114785,3583.563673,1494.815063,188.5598501,500,513
313.0239151,313.0213069,313.0264932,62.597,57.357,68.976,891.6911221,865.0919695,245.6042023,313.023746,111,19
439.6306749,439.6286054,439.6329107,32.389,25.669,34.779,9327.308415,9319.109415,4199.571777,439.6296911,73,4199
351.9782007,351.975943,351.9789087,53.507,50.177,57.357,14578.07142,14563.2743,4903.695313,351.978455,99,696
201.577992,201.5768258,201.5789142,103.863,95.694,112.183,77165.02136,76997.13702,7579.847168,201.5789142,164,258
634.9726373,634.9637044,634.9790421,336.186,331.916,340.965,764.7960996,739.2358109,315.8518982,634.9727473,452,41
440.6613781,440.6582792,440.6628145,31.559,28.289,33.169,3818.003374,3814.099374,2553.124268,440.6616466,72,2552
585.3701807,585.3690034,585.3709828,90.454,85.165,96.444,26971.67945,26387.96006,4367.58252,585.3709828,147,38
629.9546672,629.951783,629.9596495,64.997,61.097,71.486,6219.441165,6199.170651,1391.563232,629.9552609,114,140
185.029307,185.0283861,185.0306917,271.661,267.601,275.71,1141.82715,1133.451505,246.4882965,185.0283861,371,58
726.9675103,726.9627482,726.9705804,31.559,27.4,34.779,11592.34154,11585.88492,5072.551758,726.9705804,73,5072
242.0331128,242.0310793,242.0358642,142.991,136.931,148.09,1418.109811,1319.269538,224.8140411,242.03342,214,8
