PeakID,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,S/N
237,186,0.2671667,0.5069833,0.6718,347.8791,1342.572876,6039.388184,267.4912
238,186,0.2495,0.5069833,0.7556334,355.8891,2559.178711,11298.61133,160.4509
239,186,0.2777667,0.5069833,0.6318,360.5859,2115.795898,9936.611328,211.0724
240,186,0.2317833,0.5069833,0.7831333,366.488,2501.777588,11201.91406,345.6904
241,186,0.2087667,0.5069833,0.6859667,366.7393,2380.828857,10642.01953,194.7018
242,186,0.3382833,0.5069833,0.6581333,369.3049,17693.33594,85768.24219,627.1177
243,186,0.1340667,0.5069833,0.6183167,369.8059,7305.214355,32658.38281,773.5192
244,186,0.3613333,0.5069833,0.57965,370.3055,2104.508301,10207.50391,65.31436
245,186,0.3436,0.5069833,0.7969667,371.1,2653.04126,27316.36914,12.91328
246,186,0.4278167,0.5069833,0.6183167,376.0334,1121.750488,4990.555176,10.29759
247,186,0.3276,0.5069833,0.7556334,378.91,1199.897705,5498.236328,170.5691
248,186,0.2884333,0.5069833,0.7278,380.8835,1436.692871,6154.458008,131.8405
249,186,0.2087667,0.5069833,0.6318,383.8213,4015.114502,18486.96094,112.5211
250,186,0.0869,0.5069833,0.6581333,384.0584,1315.058472,5901.14502,17.27712
251,186,0.12875,0.5069833,0.6318,391.4931,3313.385498,15685.29395,291.2871
252,186,0.2087667,0.5069833,0.6581333,391.9942,1475.545654,6809.879395,45.20438
253,186,0.1024,0.5069833,0.6318,393.9242,9586.53125,43369.55078,81.22084
254,186,0.2495,0.5069833,0.7278,394.5935,2240.692139,10520.22266,167.4598
255,186,0.2777667,0.5069833,0.7138,402.4974,1118.111816,5107.406738,51.01216
256,186,0.2495,0.5069833,0.60565,402.7501,1160.652344,5416.259277,191.3758
257,186,0.2495,0.5069833,0.6581333,403.8604,3691.099609,16174.44824,254.7012
258,186,0.2777667,0.5069833,0.6453,408.5998,1460.179443,6608.001465,253.4097
259,186,0.3382833,0.5069833,0.6581333,411.1745,4632.157227,22720.0918,39.83091
260,186,0.4,0.5069833,0.60565,412.1814,1246.003052,5808.20752,5.69408
261,186,0.41365,0.5069833,0.5929833,415.0376,7436.46582,36130.69922,75.59332
